id,year_reported_to_cdp, account_number, organization, city, country, cdp_region, reporting_authority, access, climate_hazard, adaptation_action, action_title, status_of_action, co_benefit_area, action_description_and_implementation_progress, finance_status, total_cost_of_project, total_cost_provided_by_the_local_government, primary_source_fund, web_link, population, population_year, city_location, last_update,,,,,,,,,,,,,,,
1584,2018,54110,City of Santa Monica,Santa Monica,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,Diversification of water supply,,Implementation,,,,,,,,92478,2016,POINT (-118.481 34.0219),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
1585,2019,42123,City of Goiânia,Goiânia,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Chemical change > Atmospheric CO2 concentrations,Air quality initiatives,Inventory of Greenhouse Gas Emissions of the Municipality of Goiânia,Implementation complete but not in operation,"Enhanced climate change adaptation, Improved access to data for informed decision-making, Reduced GHG emissions","Emission Management Program, in which it carried out the inventory of greenhouse gas emissions; implementation of carbon project for their urban forests; implementation of new air quality measurement points and parameters; and the study of the use of biogas in a controlled landfill. Implantation of the North-South Bus Rapid Transit (BRT) in Goiânia. Implantation of an exclusive corridor for public transports of the urban network. Implementation of cycle lanes and cycle paths with stimulus to the use of alternative transport. Creation of the City bus 2.0 program with flexible routes and schedules.",Feasibility undertaken,2500000,800000,Local,http://pgegoiania.wixsite.com/2016www.rmtcgoiania.com.br,1495705000,2018,POINT (-49.2648 -16.6869),2019-11-29T08:56:56.313,213,,,,,,,,,,,,,,
1586,2019,31173,Comune di Milano,Milano,Italy,Europe,"CDP Cities, C40, Global Covenant of Mayors",public,Extreme Precipitation > Rain storm,Tree planting and/or creation of green space,Urban Forest Programme,Implementation,"Ecosystem preservation and biodiversity improvement, Improved public health, Improved resource quality (e.g. air, water), Social inclusion, social justice","Increase of the urban green surfaces through the  planting of 3.000.000 new trees by 2030 (100.000 new trees in 2019; 400.000 in 2022; 1.200.000 in 2024; 2.000.000 in 2026).The project also implies the creation of the Metropolitan Park Agency, to implement shared green strategies; the prioritization of Urban Forestation within the administrations' agendas; the construction of a digital platform to improve the knowledge and interaction of citizens with the project; public and private stakeholders engagement and the creation of public-private partnerships for new plantings on all available areas ; schools engagement in the Urban Forestation projects; the creation of a garden centres system at the regional scale to guarantee the maintenance of trees and the construction of tools such as incentives to support and sustain the project.This ambitious goal requires not only the identification of available planting areas in order to guarantee the plantings' maximum efficient, but also the implementation of new funding models to support the trees' planting and maintenance, and the creation of new models of governance to ensure the long term conservation of the new green areas. The action will result in the increase in soil permeability and in the consequent decrease in hydrogeological risk.It will also lead to 9% increase in the Metropolitan City's tree canopy cover, making Milan one of the first cities in the world for Tree Canopy Cover, the assimilation of 5 million t of CO2 per year (4/5 of the City's produced CO2), the reduction of the ""heat island"" phenomenon  by decreasing urban areas temperature by 2 °C  and to the increase in biodiversity in urban, periurban and agricultural areas.",Feasibility undertaken,700000,,Public-private partnership,,1395274,2018,POINT (9.08635 45.8026),2019-11-29T08:56:56.313,50,,,,,,,,,,,,,,
1587,2019,58621,Town of Blacksburg,Blacksburg,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,No action currently taken,,,,Roadway closings and repairs due to flooding is handled by the Town's public works department.,,,,,,44215,2015,POINT (-80.4139 37.2296),2019-11-29T08:56:56.313,46,,,,,,,,,,,,,,
1588,2018,31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Forest fire,Tree planting and/or creation of green space,,Operation,,Forest fires in Rio are more usual in degraded or recently reforested areas. The reforestation of degraded areas and maintenance of recently reforested areas is an important action to prevent this kind of fire.,,,,,,6520266,2017,POINT (-43.5614 -22.9054),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
1589,2018,58357,City of West Hollywood,West Hollywood,United States of America,North America,CDP Cities,public,Forest fire,Resilience and resistance measures for buildings,,Complete,,"The City has adopted the 2016 LA County Fire Code and offers LA County CERT training to residents, encourages residents to sign up for Alert LA mass emergency notification system",,,,,,34399,2010,POINT (-118.362 34.09),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
1590,2018,831812,Municipalidad de Puerto Barrios,Puerto Barrios,Guatemala,Latin America,CDP Cities,public,Tropical storm,Flood mapping,,Pre-feasibility study,,,,,,,,116000,2017,POINT (15.7278 -88.5944),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
1591,2019,54667,Prefeitura Municipal de Contagem,Contagem,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Flood and sea level rise > Flash / surface flood,Flood mapping,,Pre-feasibility study,"Disaster Risk Reduction, Improved public health, Improved resource efficiency (e.g. food, water, energy), Poverty reduction / eradication",,Pre-feasibility study status,0,0,Local,,603442,2010,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1592,2019,54395,Taoyuan City Government,Taoyuan,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,,Flood defences – development and operation & storage,"Full river basin management, guarding the safety of our homes",Operation,"Disaster preparedness, Disaster Risk Reduction, Enhanced climate change adaptation, Enhanced resilience, Resource conservation (e.g. soil, water)","1.Regional drainage wild creek management：Management project of Nankan Creek, Laojie Creek, Jiadong Creek, Shezi Creek, Daku Creek, Dongmen Creek and Buxin Creek.2.Regional drainage wild creek dredging：Maintaining and dredging Nankan Creek, Laojie Creek and other river courses, as well as drainage in other areas.3.Hillside conservation management：Slope control project, wild creeks and ditches renovation project and landslide prevention and control projects.Progress:1. In 2018, the annual length of river management and the length of river regulation are 45.918 kilometers; it is expected to increase by 28.5 kilometers in 2019.2. In 2018, the city management area is 167.985 kilometers in the clearing of the river, and the revetment is 750 meters. It is estimated that in 2019, the urban area will be dredged 80 kilometers and the bank will be rectified for 1,500 meters.3. In 2018, the wild stream was treated for 1.5 km, the dredging was 11 km, and the earth and rock flow potential was monitored by 53 streams. It is estimated that in 2019, the wild stream will be treated 1.5 km, the dredging will be 5 km, and 53 streams of earth-rock flow potential will be monitored.",Finance secured,802380000,802380000,Local,http://greencity.tydep.gov.tw/views/act2/act2.html,2220872,2018,POINT (121.301 24.9931),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1593,2019,55372,Prefeitura Municipal de Canoas,Canoas,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Extreme Precipitation > Rain storm,Hazard resistant infrastructure design and construction,,Pre-feasibility study,,"EXECUÇÃO DE POLDER (SISTEMA DE PROTEÇÃO CONTRA CHEIAS) NO BAIRRO MATO GRANDE, IRÁ PROTEGER UMA ÁREA DE APROXIMADAMENTE 600 HECTARES, QUE HOJE ESTÁ SUJEITA AO EVENTOS CLIMÁTICOS DE ELEVADA PRECIPITAÇÃO.",,,,,,341343,2015,POINT (-51.1862 -29.9133),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1594,2019,54402,City of Lahti,Lahti,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, Global Covenant of Mayors",public,Extreme hot temperature > Heat wave,Tree planting and/or creation of green space,"Rakennettujen viheralueiden (katupuut, puistot) pienilmastovaikutusta parannetaan",Operation,"Ecosystem preservation and biodiversity improvement, Enhanced climate change adaptation, Reduced GHG emissions","Increasing amount of green in Lahti, bettering the park tree network and cycle lane tree network. These have cooling effect, trees and plants capture the impurities in the air and reduce strong winds. These are only examples from the Lahti SECAP actions.",Finance secured,,,Local,https://www.lahti.fi/palvelut/luonto-ja-ymparisto/puistot-ja-viheralueet,120028,2019,POINT (25.65 60.9833),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1595,2019,73746,Probolinggo,,Indonesia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Flood and sea level rise > Coastal flood,Tree planting and/or creation of green space,The city of Probolinggo planted mangrove tree seedlings on the shoreline as barriers to coastal flood waters in hopes of anticipating more severe damage from coastal flooding,Implementation complete but not in operation,,"Of the 5 urban villages affected by the 4 kelurahan it has not happened again, but 1 urban village, namely the Mayangan Village, is still affected by coastal flooding but with a smaller intensity",,,,,,233123,2016,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1596,2018,74560,"City of Moab, UT",Moab,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Monsoon,Flood mapping,,Complete,,Re-evaluated flooding maps,,,,,,5253,2017,POINT (-109.54 38.57),2019-11-29T08:49:03.203,59,,,,,,,,,,,,,,
1597,2018,58868,Regional Municipality of Durham,Durham,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Extreme hot days,White roofs,,Pre-implementation,,"Our Human Health Working Group is working to design and implement measures to respond to extreme heat days. This includes drafting a maximum temperature in rental units bylaw, mapping heat islands and cooling centers, and conducting research on reflective surfaces and resilient pavement.",,,,,,673070,2017,POINT (-78.9288 43.9368),2019-11-29T08:49:03.203,42,,,,,,,,,,,,,,
1598,2019,60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Extreme Precipitation > Rain storm,Storm water capture systems,Obras de macro e micro drenagem,Implementation,"Improved access to and quality of mobility services and infrastructure, Resource conservation (e.g. soil, water)","Varias obras de macro e micro drenagem vem sendo implantada no Município. Algumas obras já foram concluídas e estão em operação, outras se encontram em fase de obra e / ou em processo licitatório.",Finance secured,7342590.18,804307.61,Other: Fundo Estadual de Recursos Hídricos - FEIHIDRO,,61736,2018,POINT (-46.0599 -23.8081),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1599,2019,69968,Alcaldia de Rionegro,Rionegro,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Chemical change > Atmospheric CO2 concentrations,Tree planting and/or creation of green space,,,,"recuperación de zonas degradadas por medio de actividades de restauración activa y pasiva, mediante siembra de especies nativas, aislamiento de predios, protección de taludes.",,,,,,137078,2017,POINT (-75.3739 6.15316),2019-11-29T08:56:56.313,146,,,,,,,,,,,,,,
1600,2018,59151,City of Akureyri,Akureyri,Iceland,Europe,CDP Cities,public,,,,,,,,,,,,18788,2017,POINT (-18.1262 65.6885),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
1601,2019,839967,Malargue,Malargue,Argentina,Latin America,"CDP Cities, Global Covenant of Mayors",public,Water Scarcity > Drought,Public preparedness (including practice exercises/drills),Reducción de consumo de agua domiciliaria,Pre-feasibility study,"Improved access to data for informed decision-making, Improved resource efficiency (e.g. food, water, energy), Promote circular economy, Resource conservation (e.g. soil, water), Shift to more sustainable behaviours, Social community and labour improvements, Social inclusion, social justice",Realizar Talleres y difundir acciones tendientes a la reducción de consumo de agua domiciliaria mediante el uso responsable del agua.,Pre-feasibility study status,,,,,27660,2010,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1602,2019,31175,City of Paris,Paris,France,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Extreme cold temperature > Cold wave,Community engagement/education,,Operation,,"Awareness campaigns ""Not more than 19°C""",Finance secured,,,Local,,2249975,2016,POINT (2.35222 48.8566),2019-11-29T08:56:56.313,44,,,,,,,,,,,,,,
1603,2019,31181,City of Philadelphia,Philadelphia,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Extreme hot temperature > Extreme hot days,Community engagement/education,Beat the Heat Pilot,Implementation,"Enhanced resilience, Social inclusion, social justice","The Office of Sustainability and our partners from the Department of Public Health, Parks and Recreation, Philadelphia Water Department, and Office of Emergency Management kicked off the Beat the Heat pilot project in Hunting Park. This work is being done in collaboration with Esperanza CDC, The Lenfest Center, Hunting Park NAC, Hunting Park United, and North 10 CDC. The project is aimed at addressing the disparity in how heat is experienced in Philadelphia.",Finance secured,50000,0,Other: Grant funding,https://www.phila.gov/2018-08-07-beat-the-heat-hunting-park/,1555072,2015,POINT (-75.1638 39.9523),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1604,2019,10894,City of Los Angeles,Los Angeles,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Extreme hot temperature > Extreme hot days,Cool pavement,Installation of cool slurry on streets and pavement,Implementation,,"The City is already beginning to manage some effects of climate change, particularly rising temperatures, through installation of cool pavement and cool roofs. The City has installed over 140,000 sq feet of streets in cool pavement (2.4 lane miles) amd 8,500 sq feet of parking lots in cool pavement.",Finance secured,,,Local,,4021488,2017,POINT (-118.244 34.0522),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1605,2018,58530,"City of Northampton, MA",Northampton,United States of America,North America,CDP Cities,public,River flood,Restrict development in at risk areas,,Implementation,,"The city prohibits development in the 500 year FEMA mapped floodplain, in part because we believe the FEMA mapped 100 year floodplain does not adequately reflect climate change.",,,,,,28549,2010,POINT (-72.6144 42.3048),2019-11-29T08:49:03.203,254,,,,,,,,,,,,,,
1606,2018,73293,"City of LaGrange, MO",LaGrange,United States of America,North America,CDP Cities,public,,,,,,,,,,,,931,2010,POINT (-91.4976 40.0428),2019-11-29T08:49:03.203,46,,,,,,,,,,,,,,
1607,2019,834226,Municipality of Bell Ville,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Restrict development in at risk areas,Relocalizar 100 viviendas de Villa Carlitos,Scoping,"Disaster Risk Reduction, Enhanced climate change adaptation, Improved access to and quality of mobility services and infrastructure, Improved resource efficiency (e.g. food, water, energy)","Villa Carlitos es la zona más vulnerable del municipio. A la vez de ser una de las zonas con mayores problemas de anegamiento por lluvias intensas y desborde del río. Se propone relocalizar a 100 familias del barrio, comenzando por las 25 más vulnerables y finalizando al 2030.Objetivos Generales del proyectoReducción de vulnerabilidad a inundaciones de familias específicas.Principales involucradosDirección de Acción Social, Secretaría de Desarrollo Urbano, Dirección de Viviendas, Dirección de Planificación , Municipalidad de Bell VilleIndicadores/Medición y verificaciónCantidad de familias reubicadas",,,,,,35281,2014,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1608,2018,31155,City of Buenos Aires,Buenos Aires,Argentina,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,River flood,Projects and policies targeted at those most vulnerable,,Implementation,,"Debido a las frecuentes inundaciones dentro de la ciudad, se han realizado varias modificaciones  en la infraestructura de la ciudad siguiendo el Plan Maestro Hidráulico, que tiene diferentes medidas para evitar la vulnerabilidad hídrica. Se han realizado trabajos en las corrientes de la ciudad para aumentar la capacidad de drenaje del agua; Además, al incorporar parques de reservorios de agua, se incrementó la extensión de la superficie permeable para evitar el anegamiento. El gobierno de la ciudad ha instalado un sistema de sensores para monitorear el nivel de estado del río, arroyos y ductos de agua de lluvia. Este sistema mide y envía datos sobre la capacidad de las tuberías de agua de lluvia y los parámetros ambientales al Centro de Coordinación y Control (CUCC). Este es un centro único de comando y control en América Latina, que ha sido diseñado y equipado con la última tecnología que permite a la Ciudad coordinar respuestas rápidas e integradas de todas las agencias para cualquier tipo de desastre: inundaciones, complejos policiales o emergencias de salud. El CUCC cuenta con una moderna plataforma informática y un sistema de comunicaciones para el uso exclusivo de las fuerzas de seguridad y de emergencia. Fue creado para coordinar las acciones de agencias civiles, de emergencia, de tráfico y policiales trabajando con información del monitoreo continuo de las principales vías de acceso a la ciudad, parques y espacios públicos. También funciona recibiendo llamadas de vecinos para activar inmediatamente todos los recursos necesarios para cada emergencia. El Departamento de Defensa Civil organiza capacitaciones para los primeros encuestados en asentamientos de bajos ingresos para fortalecer la capacidad de autodefensa de las poblaciones vulnerables, para que sepan cómo actuar en caso de inundación hasta que lleguen las agencias de emergencia. Si hubo necesidad de evacuaciones, el Área de Defensa Civil ha identificado una red de seguridad, que consiste en instituciones (escuelas, clubes, iglesias) cerca de barrios vulnerables que pueden funcionar como centros de evacuación.",,,,,,2890151,2010,POINT (-58.3816 -34.6037),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
1609,2019,834153,Jasin Municipal Council,,Malaysia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Extreme Precipitation > Rain storm,Resilience and resistance measures for buildings,Implementation of water retention ponds for new project development,Operation,"Disaster preparedness, Disaster Risk Reduction, Enhanced climate change adaptation, Enhanced resilience, Improved resource efficiency (e.g. food, water, energy), Improved resource quality (e.g. air, water), Improved resource security (e.g. food, water, energy), Resource conservation (e.g. soil, water), Shift to more sustainable behaviours","It is mandatory for new developments to install on site detention ponds (OSD). The ponds are used to capture rainfall to prevent stormwater run off. During rains, the lands will be used as ponds while during dry weather, the ponds are transformed into open space area for recreational purposes.","Feasibility finalized, and finance partially secured",0,0,Public-private partnership,,141000,2016,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1610,2019,8242,City of Helsinki,Helsinki,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, Global Covenant of Mayors",public,Extreme Precipitation > Heavy snow,Public preparedness (including practice exercises/drills),,Operation,,"on-going process, preparedness for severe winter weather, such as snow storms, is maintained (equipment, machinery etc)",,,,Local,,650033,2018,POINT (24.941 60.1733),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1611,2019,35870,City of Miami,Miami,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Extreme Precipitation > Rain storm,Flood defences – development and operation & storage,Storm Water Management Pumps,Implementation,"Disaster Risk Reduction, Enhanced climate change adaptation, Enhanced resilience","Installation of storm water pumps in flood-vulnerable neighborhoods. Areas include: Brickell, Belle Meade, and along the Miami River.","Feasibility finalized, and finance partially secured",,,,,470914,2018,POINT (-80.1918 25.7617),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1612,2019,840425,Skövde kommun,Skövde,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Flood and sea level rise > River flood,Flood mapping,Flood mapping Tidan river,Monitoring and reporting,"Disaster preparedness, Disaster Risk Reduction, Enhanced climate change adaptation, Enhanced resilience, Improved access to data for informed decision-making, Improved resource security (e.g. food, water, energy)","Swedish Civil Contingencies Agency  has developed an updated flood mapping along the wayriver Tidan for the stretch from Stråken to the outlet in Vänern.The mapping can be used for input planning of the rescue service's workand as a basis for the municipality's risk management and community planning.The final product is maps with flood zones at 100-year flow, 200-annual flow and estimated maximum flow (BHF). The 100-year flow and 200-year flow haveadapted to expected flows in 2098.",Finance secured,,,Other: National,https://www.msb.se/siteassets/dokument/amnesomraden/skydd-mot-olyckor-och-farliga-amnen/naturolyckor-och-klimat/oversvamning/oversvamningskartering-vattendrag/tidan-2015.pdf,55729,2018,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1613,2018,57509,Prefeitura Niterói,Niterói,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Forest fire,Real time risk monitoring,,Monitoring and reporting,,"O monitoramento é feito através de imagens de satélite e radar, utilizando o índice Nestorov onde leva em consideração a umidade relativa do ar, temperatura e dias sem chuva. O trabalho é desenvolvido pela defesa cilvil em parceria com equipe de voluntarios. a defesa civil capacita os moradores para auxiliar nas ações de defesa civil.É realiza a ronda preventiva concientizando os moradoes do perigo da queima de lixo e folhas, habito comum na região.",,,,,,499028,2017,POINT (-43.1184 -22.8928),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
1614,2018,35865,Municipality of Fortaleza,Fortaleza,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Rain storm,Flood mapping,,Operation,,A Coordenadoria Municipal de Proteção e Defesa Civil (COEPDC) realiza frequentemente o monitoramento de áreas de risco ou com o histórico prévio de alagamentos e inundações na cidade.,,,,,,2627482,2017,POINT (-48.3936 -10.7183),2019-11-29T08:49:03.203,192,,,,,,,,,,,,,,
1615,2019,840425,Skövde kommun,Skövde,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Storm and wind > Severe wind,Biodiversity monitoring,Forestry plan,Operation,"Disaster preparedness, Disaster Risk Reduction, Ecosystem preservation and biodiversity improvement, Enhanced climate change adaptation, Improved public health, Shift to more sustainable behaviours","Our goal is to manage the forest in such a way that all forestry measures are adapted to the existing environment.This means that great consideration is given to the different social values ​​and to the natural and cultural values. We see it as an important future issue to provide available natural areas to promote good public health.In densely populated forests, it is particularly important to safeguard natural values ​​and social values. Areas where it is particularly important to take into account are among others Billingen's slope zones and the Nordbilling's limestone plateau. Deciduous forestry should be prioritized at Billingen below the diabase plateau.Skövde municipality's own forest is FSC®-certified according to FSC-C006219 and is managed according to a so-called Green Forestry Plan. Being certified means that you conduct sustainable forestry, taking into account the natural environment, to those who work in the forestry sector and to ethical and social values.",Finance secured,,,Local,https://www.skovde.se/natur-miljo/skogsbruk/,55729,2018,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1616,2019,60385,Alcaldía de Villavicencio,,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Other: Plan de Acción Ciudades Sostenibles y Competitivas,Sustitución de alumbrado exterior por lámparas LED,Operation,"Enhanced climate change adaptation, Reduced GHG emissions","El consumo eléctrico de la municipalidad fue de 15.231.000 kWh, a lo que hay que añadir un 29,27 % más asociado a las pérdidas de electricidad.Entre los años 2012 y 2013, Findeter, en conjunto con el BID, desarrolló el Estudio de Mercado sobre Eficiencia Energética en el Sector de Alumbrado Público en Colombia de donde se recopiló información relevante sobre este sector en varias ciudades. De acuerdo a este estudio, el consumo del alumbrado público es de aproximadamente el 3% de la energía eléctrica del país. Aunque estos consumos son bajos en comparación con otros sectores, actuar sobre ellos supone un ejemplo para la ciudadanía en la mejora de la eficiencia energética por lo que el Gobierno de Colombia se ha propuesto reducir el consumo de energía eléctrica en el sector comercial, público y servicios un 2,7% para el año 20155.De acuerdo a la caracterización tecnológica de municipios realizada en dicho estudio, más de 70 % de las luminarias son de la tecnología de vapor de sodio de alta presión y presenta la siguiente distribución por potencia:En la misma línea, Findeter impulsó la “Línea Especial para Energías Renovables, Alumbrado e Iluminación” con un presupuesto de 100 mil millones de pesos y que apoya proyectos de modernización y expansión del servicio de alumbrado en el campo de la eficiencia energética.Por tanto, esta acción busca optimizar el uso del alumbrado público, en línea con las medidas que ya se están desarrollando en Colombia, y tiene como objetivo su sustitución progresiva, desde las actuales lámparas de vapor sodio hasta las de tecnología LED, con el fin de que alcance al 100% de las luminarias.Es notable la progresiva sustitución de las viejas luminarias, impulsada por la Alcaldía de Villavicencio e Iluminación Villavicencio S.A., la empresa concesionaria del servicio. De esta forma ha tenido lugar la modernización del servicio de alumbrado con modernas luminarias con tecnología LED en varios sectores de la ciudad.Entre los sectores en los que se ha actuado se encuentra el Buque y algunos parques como el de Esperanza y el de Villabolivar. Además se están instalando luminarias con este tipo de alumbrado en la avenida 40, en la parte alta del barrio 7 de Agosto y se prevé que dicha tecnología se amplíe a la avenida Alfonso López entre la Glorieta de la Grama y la intersección de la avenida a Puerto López, frente al Hipermercado Alkosto.",Finance secured,100000000000,0,Other: Findeter,http://www.villavicencio.gov.co/Paginas/default.aspx,527673,2019,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1617,2019,54084,City of Guelph,Guelph,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Mass movement > Vector-borne disease,Disease prevention measures,Tick and Lyme Disease Action Plan,Monitoring and reporting,"Improved access to data for informed decision-making, Improved public health","Wellington-Dufferin-Guelph Public Health’s (WDGPH) prevention and control program for Lyme disease focused on passive and active surveillance for BLTs, tick identification services, as well as education and communication efforts focused on the cause and symptoms of Lyme disease, ecological and biological characteristics of BLTs, preventing tick bites and tick removal.",Finance secured,,,(Sub)national,https://www.wdgpublichealth.ca/board-health/board-health-meetings/may-1-2019-agenda/bh01may0119c08-2018-tick-and-lyme-disease,131794,2016,POINT (80.25 43.55),2019-11-29T08:56:56.313,47,,,,,,,,,,,,,,
1618,2019,35886,Comune di Torino,Torino,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Extreme hot temperature > Heat wave,Green roofs/walls,Fresh surfaces,Pre-feasibility study,"Enhanced climate change adaptation, Enhanced resilience","The project intends to favor the presence of fresh surfaces on buildings and urban infrastructures. Benefits: to favor the decrease of temperature on the ground, reducing the heat island effect",Pre-feasibility study status,0,0,Local,,879004,2018,POINT (7.668 45.1006),2019-11-29T08:56:56.313,50,,,,,,,,,,,,,,
1619,2018,31169,Government of Hong Kong Special Administrative Region,Hong Kong,"China, Hong Kong Special Administrative Region",East Asia,"CDP Cities, C40",public,Extreme hot days,Other: Other,,Monitoring and reporting,,"Timely risk communication to the public regarding the forecast of extreme hot day will continue. Moreover, the Government has all along promulgated a variety of promotional and public education materials to raise community awareness about health risks of extreme hot days.",,,,,,7391700,2017,POINT (114.14 22.2881),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
1620,2019,59167,Municipalidad de Providencia,Providencia,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Mass movement > Air-borne disease,Disease prevention measures,Programa de prevención de enfermedades,Operation,"Improved public health, Social inclusion, social justice","Se consta con campañas de salud en el invierno a modo de prevención de enfermedades, por ejemplo, higienización de manos y alimentos, uso de abrigos, etc.",Finance secured,0,0,Local,,142079,2017,POINT (-70.6092 -33.4313),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
1621,2018,63941,"Broward County, FL",Broward,United States of America,North America,CDP Cities,public,Salt water intrusion,Xeriscapes – low water landscaping design,,Operation,,"NatureScape Broward teaches residents how to create a landscape that will conserve water, reduce pollution and create habitat to attract native and migratory wildlife. Creating a NatureScape will not only help to preserve our precious water resources, but will also add value to your home and save you money on your utility bills. NatureScapes emphasize the use of best management practices for landscaping. These are cost-effective, efficient, and simple methods for creating and maintaining water-wise and low maintenance yards with minimal use of fertilizers, pesticides and other chemicals and complying with mandatory outdoor water restrictions. Broward County received national standing as the first County to be recognized as a Community Wildlife Habitat by the National Wildlife Federation. This recognition underscores the County’s commitment to the environment and efforts to involve individual residents, business owners, schools, and municipalities in local efforts to protect our natural resources. The County’s efforts have focused on environmental outreach and education designed to preserve our water resources and create wildlife habitat. The creation and certification of NatureScapes has been fundamental to this effort. So far, over 4,000 properties have been certified as NatureScapes in Broward County.Broward County also has an ordinance adopting year round irrigation restrictions.In general, NO watering of lawns and landscapes is allowed on Monday, Tuesday, and Fridays.  Residences and businesses with an odd-numbered street address may water lawns and landscapes on Wednesdays and/or Saturdays, only before 10:00 a.m. or after 4:00 p.m. Residences and businesses that use reuse water for irrigation are allowed to water all days, except between 10 a.m. - 4:00 p.m. Special exceptions may also apply if using a smart irrigation soil moisture sensor controller. Residences and businesses with an even-numbered street address, no street address, or those who irrigate both even and odd addresses within the same zones, which may include multi-family units and homeowners associations, may water lawns and landscapes on Thursdays and/or Sundays, only before 10:00 a.m. or after 4:00 p.m.",,,,,,1870000,2014,POINT (80.3659 26.1901),2019-11-29T08:49:03.203,107,,,,,,,,,,,,,,
